Age;VRExperience;width;height;fov;fps;antialiasing;textures;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;ambientSound;reverbZone;won;zombiesKilled;time;VisualImmersion
20;2;1449.509;805.2827;87;25;0;1;0.3065946;0.1375625;-0.7498551;0.8744906;0.3920123;1;1;1;0;1;1;0;30;79;84
20;2;642.8687;357.1493;53;30;0;0;0.9341354;-0.5149933;0.06699574;0.4830539;0.6037839;1;0;0;0;1;0;0;21;64;91
20;2;535.6501;297.5834;76;31;1;1;0.03232729;0.7411892;-0.5082586;0.4820588;0.6434839;1;0;0;1;1;0;1;45;90;96
21;2;517.7806;287.6559;77;34;0;1;0.7724898;0.4615913;0.5618759;0.2565071;0.7695984;0;0;1;0;1;0;0;19;67;74
21;2;670.3562;372.4201;53;58;0;1;0.3225863;-0.7225143;0.7183073;0.5333032;0.1797234;1;0;1;0;1;1;0;39;87;98
21;2;1400.656;778.142;81;30;0;1;-0.7596829;0.7383282;-0.299338;0.5303227;0.9989415;0;0;0;1;1;0;0;40;90;100
21;2;495.9905;275.5503;85;15;0;0;-0.4314724;0.1357274;0.1039459;0.5386278;0.4468867;1;0;0;1;1;1;0;26;80;41
28;2;1362.155;756.7529;65;56;1;0;-0.7167947;-0.08171338;-0.04234588;0.582791;0.6831201;0;1;0;1;1;1;1;44;90;34
28;2;603.2928;335.1627;70;55;0;0;-0.1567479;-0.2718659;0.1961097;0.1719173;0.6781844;1;0;1;0;1;0;1;47;90;30
28;2;2038.355;1132.42;61;53;0;1;0.2418936;-0.3917081;-0.7871242;0.1812598;0.5213962;0;1;1;1;1;0;1;38;90;36
28;2;1667.976;926.6535;83;58;0;0;0.896656;-0.6618765;-0.7691165;0.6195701;0.02105439;0;1;1;1;1;1;0;28;81;37
28;2;1184.749;658.1938;52;38;0;0;0.8701198;0.1227552;0.5550345;0.6838148;0.3130162;1;1;0;1;1;1;0;4;38;17
28;2;1906.677;1059.265;98;53;1;1;-0.4783088;0.09021866;0.3124088;0.4884036;0.2919343;0;1;1;1;1;1;0;36;90;40
28;2;782.9467;434.9704;68;36;1;1;-0.4045018;0.4812731;-0.3419423;0.2892125;0.4412042;0;0;0;1;1;0;1;42;90;1
36;2;332.4615;184.7008;51;25;1;1;0.1425704;-0.581579;0.7073054;0.8069848;0.3285319;0;0;0;1;1;0;0;26;77;37
36;2;1664.095;924.4971;73;28;0;1;-0.7458234;0.2663576;-0.4745775;0.5588266;0.2505613;1;0;0;0;1;0;1;42;90;64
36;2;1547.581;859.7672;85;27;1;0;-0.5363507;-0.2642227;-0.749971;0.6490811;0.2706024;1;0;1;1;1;0;1;38;90;80
36;2;1907.773;1059.874;40;45;1;1;-0.02091181;0.699748;0.1336255;0.7612767;0.482339;1;1;1;0;1;1;1;40;90;91
36;2;2042.312;1134.618;88;37;0;1;-0.9088695;-0.5677924;-0.5857311;0.5586179;0.8263433;0;1;1;1;1;1;0;8;46;97
36;2;1457.492;809.7177;43;17;1;0;-0.4943539;-0.3377408;0.2116838;0.6482888;0.503377;0;1;0;0;1;0;1;40;90;89
36;2;821.0761;456.1534;41;31;0;0;0.04885161;-0.1728333;-0.5097933;0.2818504;0.312412;0;1;0;1;1;0;1;41;90;80
36;2;1027.506;570.8369;51;40;0;0;-0.7527633;-0.08429158;-0.1759324;0.1685629;0.9534576;0;0;1;1;1;1;1;39;90;60
36;2;707.7819;393.2122;74;58;1;0;-0.1074048;-0.1483104;0.5938347;0.02649176;0.9281003;1;1;0;1;1;1;0;30;82;76
36;2;278.6206;154.7892;68;46;1;1;0.1617328;-0.5043371;-0.1585618;0.3739633;0.7709304;0;0;0;0;1;0;1;41;90;78
36;2;556.7406;309.3003;59;51;1;0;0.1728648;-0.5656577;0.1138949;0.2932854;0.6086918;1;1;0;0;1;1;1;36;90;85
36;2;923.8754;513.2641;62;50;0;0;0.8492737;0.5571182;0.222764;0.164821;0.8095002;1;1;1;1;1;1;1;37;90;90
36;2;660.3456;366.8587;60;30;0;0;0.6073143;0.6702082;0.4391651;0.5039912;0.9392021;1;1;0;1;1;1;0;22;71;71
36;2;580.5095;322.5053;82;39;1;0;-0.4230539;0.1728997;0.1462932;0.2904705;0.917316;1;1;1;1;1;1;1;41;90;93
36;2;1910.668;1061.483;35;45;0;1;0.2787161;0.0776332;0.10353;0.7175351;0.3295872;0;1;1;0;1;1;1;40;90;95
23;1;2152.311;1195.728;94;60;0;0;0.7791638;-0.7063082;-0.1605176;0.2654514;0.5483199;1;1;0;1;1;1;0;16;61;78
23;1;362.4525;201.3625;98;48;0;0;0.32623;0.5824425;0.7573044;0.2782798;0.9585367;0;0;0;0;1;1;0;20;62;55
23;1;1851.161;1028.423;55;45;1;0;0.5880163;-0.1780249;0.05417377;0.2316766;0.9500862;1;0;0;0;1;0;0;19;63;68
23;1;388.7212;215.9562;84;43;0;0;-0.7106047;0.5770949;-0.674603;0.5030517;0.3312189;0;0;0;1;1;1;1;42;90;50
23;1;2105.51;1169.727;74;15;1;0;-0.6199129;-0.5166011;-0.5297777;0.9414729;0.9612833;1;1;1;1;1;1;0;11;48;75
23;1;739.5258;410.8477;73;29;1;1;-0.4113773;-0.6090942;0.03652966;0.005801797;0.6136951;1;1;1;0;1;0;0;30;77;100
25;2;1067.927;593.2928;91;20;0;0;0.3220825;0.5419167;0.3991268;0.8048985;0.3890697;0;0;1;0;1;1;1;41;90;44
25;2;1581.979;878.8775;77;59;1;0;-0.8524272;-0.6130201;0.634659;0.7551548;0.7303199;1;0;1;1;1;0;0;8;41;65
25;2;809.5135;449.7297;87;53;0;0;-0.3022639;0.3754573;0.1600938;0.09860253;0.2703245;0;0;0;0;1;1;0;37;85;51
25;2;1422.027;790.0153;71;59;1;0;-0.6682429;0.5013336;-0.007928729;0.1511453;0.7081194;0;0;0;1;1;0;1;40;90;57
